"","gene","msc_11_S11.readcounts","msc_12_S12.readcounts","msc_13_S13.readcounts","msc_14_S14.readcounts","msc_15_S15.readcounts"
"37933","ENSG00000283475",1,6,1,0,1
"37934","ENSG00000070018",1233,1035,1120,937,921
"37935","ENSG00000242405",3,0,0,0,0
"37936","ENSG00000199551",0,0,0,0,0
"37937","ENSG00000270857",2,1,0,0,0
"37938","ENSG00000207010",0,0,0,0,0
"37939","ENSG00000111261",92,51,105,63,45
"37940","ENSG00000243141",0,0,0,0,0
"37941","ENSG00000205791",24,54,109,67,48
"37942","ENSG00000165714",258,472,459,353,356
"37943","ENSG00000271370",0,0,0,0,0
"37944","ENSG00000111266",2029,2499,3174,2090,2169
"37945","ENSG00000255670",3,0,0,1,0
"37946","ENSG00000240424",0,0,0,0,0
"37947","ENSG00000111269",2501,2766,3727,3406,3125
"37948","ENSG00000271215",1,0,0,0,0
"37949","ENSG00000275963",7,5,16,3,2
"37950","ENSG00000183150",343,300,222,401,208
"37951","ENSG00000257004",1,1,0,0,0
"37952","ENSG00000111276",1211,3078,3990,2285,2213
"37953","ENSG00000275560",2,3,5,6,11
"37954","ENSG00000256658",0,1,1,0,0
"37955","ENSG00000178878",3143,4085,897,1305,1496
"37956","ENSG00000207983",0,0,0,0,0
"37957","ENSG00000270296",1,0,3,0,0
"37958","ENSG00000213782",19,12,9,17,20
"37959","ENSG00000242329",0,0,0,0,0
"37960","ENSG00000241352",11,7,5,10,4
"37961","ENSG00000234498",26,7,26,24,18
"37962","ENSG00000013588",1252,1170,1768,684,585
"37963","ENSG00000283759",0,0,0,0,0
"37964","ENSG00000247498",12,38,36,17,20
"37965","ENSG00000111291",2,6,9,5,3
"37966","ENSG00000256011",0,0,0,0,1
"37967","ENSG00000221611",1,0,0,0,1
"37968","ENSG00000013583",4315,6211,11376,5929,4174
"37969","ENSG00000183935",303,198,683,232,220
"37970","ENSG00000255621",1,2,11,7,4
"37971","ENSG00000243129",0,0,0,0,0
"37972","ENSG00000084444",372,1302,605,522,367
"37973","ENSG00000111305",0,1,0,0,0
"37974","ENSG00000134531",10394,13418,21226,28231,22184
"37975","ENSG00000286869",0,2,0,2,0
"37976","ENSG00000180861",1,0,2,3,2
"37977","ENSG00000273079",1,1,4,4,7
"37978","ENSG00000201476",0,0,0,0,0
"37979","ENSG00000201909",0,0,0,0,0
"37980","ENSG00000256306",0,0,0,1,0
"37981","ENSG00000277935",0,0,0,0,0
"37982","ENSG00000287928",0,0,1,1,0
"37983","ENSG00000200475",0,0,0,0,0
"37984","ENSG00000256346",0,0,0,0,0
"37985","ENSG00000227760",0,0,0,0,0
"37986","ENSG00000256084",0,0,0,0,0
"37987","ENSG00000255763",0,0,0,0,0
"37988","ENSG00000251908",0,0,0,0,0
"37989","ENSG00000255749",0,0,0,0,0
"37990","ENSG00000244573",0,0,0,0,0
"37991","ENSG00000171681",2050,2212,3207,2244,2015
"37992","ENSG00000121316",45,32,29,81,31
"37993","ENSG00000255649",0,0,0,1,0
"37994","ENSG00000200830",0,0,0,0,0
"37995","ENSG00000256751",2,4,5,3,9
"37996","ENSG00000070019",0,1,0,0,0
"37997","ENSG00000214772",1,2,0,0,0
"37998","ENSG00000261324",48,54,48,61,41
"37999","ENSG00000197837",32,43,42,39,48
"38000","ENSG00000246705",7724,8348,16731,12236,11148
"38001","ENSG00000084463",7198,4492,6255,7185,5385
"38002","ENSG00000182993",256,209,332,341,271
"38003","ENSG00000179256",10,9,19,22,27
"38004","ENSG00000286107",0,0,1,1,0
"38005","ENSG00000111339",2,1,6,1,0
"38006","ENSG00000256339",0,0,0,0,0
"38007","ENSG00000111341",4,69,2,2,2
"38008","ENSG00000139055",2,0,4,2,1
"38009","ENSG00000111348",37,26,5,10,4
"38010","ENSG00000139053",5,7,3,8,7
"38011","ENSG00000255727",0,0,0,0,2
"38012","ENSG00000134533",0,1,2,0,5
"38013","ENSG00000256650",0,0,0,0,0
"38014","ENSG00000255660",0,0,0,0,0
"38015","ENSG00000256283",0,0,1,1,0
"38016","ENSG00000151490",2,0,1,0,1
"38017","ENSG00000243916",0,0,0,0,0
"38018","ENSG00000151491",5292,5209,5197,5699,5245
"38019","ENSG00000200105",0,0,0,0,0
"38020","ENSG00000255565",1,0,0,1,0
"38021","ENSG00000256627",0,0,0,0,0
"38022","ENSG00000023734",4553,4922,4349,4263,3734
"38023","ENSG00000023697",854,1023,1309,1607,1134
"38024","ENSG00000256134",0,1,0,1,0
"38025","ENSG00000188991",0,0,1,0,0
"38026","ENSG00000008394",9586,2337,3135,3491,2665
"38027","ENSG00000256238",28,34,31,25,17
"38028","ENSG00000286303",0,1,0,0,0
"38029","ENSG00000256450",1,0,0,1,0
"38030","ENSG00000048540",17,25,41,9,36
"38031","ENSG00000256564",2,0,0,1,0
"38032","ENSG00000283240",0,1,0,0,0
"38033","ENSG00000255871",0,0,0,0,0
"38034","ENSG00000256211",25,3,17,15,5
"38035","ENSG00000213235",2,0,3,2,0
"38036","ENSG00000287455",0,0,0,0,0
"38037","ENSG00000212358",0,0,0,0,0
"38038","ENSG00000285724",0,0,0,0,0
"38039","ENSG00000242991",0,0,0,0,0
"38040","ENSG00000256896",4,1,2,3,0
"38041","ENSG00000256756",0,0,0,0,0
"38042","ENSG00000256389",0,0,0,0,0
"38043","ENSG00000256994",0,0,0,0,0
"38044","ENSG00000283665",0,0,0,0,0
"38045","ENSG00000206662",0,0,0,0,0
"38046","ENSG00000111404",0,0,0,0,0
"38047","ENSG00000139144",0,0,0,0,0
"38048","ENSG00000255892",0,0,0,0,0
"38049","ENSG00000255960",0,0,0,0,0
"38050","ENSG00000256138",0,0,0,0,0
"38051","ENSG00000139151",0,0,0,0,0
"38052","ENSG00000255993",9,1,5,3,1
"38053","ENSG00000255648",0,0,0,0,0
"38054","ENSG00000177938",0,0,0,0,0
"38055","ENSG00000227525",9,4,6,9,5
"38056","ENSG00000256844",0,0,0,0,0
"38057","ENSG00000052126",5663,4618,5946,5566,4317
"38058","ENSG00000253284",0,0,0,0,2
"38059","ENSG00000240993",0,0,0,0,0
"38060","ENSG00000243854",13,1,4,20,12
"38061","ENSG00000139154",669,635,771,659,579
"38062","ENSG00000255909",4,3,2,4,3
"38063","ENSG00000271462",0,0,0,0,0
"38064","ENSG00000200247",0,0,0,0,0
